Text,Bounding Box
4 . .. `,"[[1316, 915], [1540, 915], [1540, 966], [1316, 966]]"
5) What is the duration of a secondary pressure test?,"[[215, 940], [1164, 940], [1164, 1000], [215, 1000]]"
10,"[[273, 1009], [313, 1009], [313, 1045], [273, 1045]]"
Mi,"[[336, 1010], [384, 1010], [384, 1034], [336, 1034]]"
nutes,"[[375, 996], [477, 996], [477, 1045], [375, 1045]]"
Code Ref,"[[276, 1028], [402, 1028], [402, 1078], [276, 1078]]"
6.22,"[[423, 1035], [491, 1035], [491, 1073], [423, 1073]]"
3d (Pink Page),"[[488, 1015], [783, 1015], [783, 1077], [488, 1077]]"
6) Describe a primary pressure test?,"[[218, 1066], [868, 1066], [868, 1122], [218, 1122]]"
Pressure,"[[1106, 1062], [1262, 1062], [1262, 1118], [1106, 1118]]"
in,"[[1268, 1074], [1312, 1074], [1312, 1102], [1268, 1102]]"
accordance with,"[[1315, 1030], [1649, 1030], [1649, 1120], [1315, 1120]]"
Before Appliances,"[[235, 1105], [543, 1105], [543, 1189], [235, 1189]]"
connected cap ; UP,"[[660, 1093], [925, 1093], [925, 1153], [660, 1153]]"
Table 6.3,"[[420, 1138], [493, 1138], [493, 1187], [420, 1187]]"
"consists of 375 feet of pipe, what is the duration and pressure of the","[[215, 1241], [1437, 1241], [1437, 1302], [215, 1302]]"
 `,"[[1298, 1293], [1388, 1293], [1388, 1337], [1298, 1337]]"
15psi,"[[274, 1348], [388, 1348], [388, 1398], [274, 1398]]"
60,"[[507, 1349], [559, 1349], [559, 1393], [507, 1393]]"
minutes,"[[558, 1312], [759, 1312], [759, 1391], [558, 1391]]"
Table,"[[814, 1328], [920, 1328], [920, 1382], [814, 1382]]"
6.3,"[[934, 1326], [1008, 1326], [1008, 1374], [934, 1374]]"
for,"[[421, 1363], [495, 1363], [495, 1405], [421, 1405]]"
False,"[[268, 1472], [392, 1472], [392, 1527], [268, 1527]]"
6.15.1,"[[467, 1483], [555, 1483], [555, 1527], [467, 1527]]"
less than 1/2 under,"[[740, 1467], [1123, 1467], [1123, 1535], [740, 1535]]"
9) What is the minimum depth pipe must be buried if located under a,"[[217, 1537], [1463, 1537], [1463, 1603], [217, 1603]]"
commercial driveway 0r parking lot?,"[[219, 1597], [890, 1597], [890, 1654], [219, 1654]]"
24","[[268, 1644], [344, 1644], [344, 1696], [268, 1696]]"
Ref,"[[515, 1659], [589, 1659], [589, 1727], [515, 1727]]"
10) What must be ensured to prevent sagging of pipe when digging a,"[[220, 1718], [1462, 1718], [1462, 1774], [220, 1774]]"
Properly Grading,"[[245, 1811], [582, 1811], [582, 1890], [245, 1890]]"
Ref,"[[894, 1842], [960, 1842], [960, 1892], [894, 1892]]"
6.15.5,"[[998, 1830], [1250, 1830], [1250, 1882], [998, 1882]]"
11) What must be provided when gas pipe Or tubing passes through an,"[[221, 1889], [1489, 1889], [1489, 1956], [221, 1956]]"
or tubing that,"[[1020, 1945], [1295, 1945], [1295, 2033], [1020, 2033]]"
Auta,"[[1301, 1969], [1387, 1969], [1387, 2005], [1301, 2005]]"
fucuk,"[[1388, 1932], [1560, 1932], [1560, 2008], [1388, 2008]]"
Portion of piping,"[[716, 1979], [1022, 1979], [1022, 2052], [716, 2052]]"
AA},"[[1488, 2006], [1604, 2006], [1604, 2060], [1488, 2060]]"
shall be,"[[450, 2034], [608, 2034], [608, 2102], [450, 2102]]"
Disable,"[[30, 2066], [151, 2066], [151, 2118], [30, 2118]]"
Sacued ec,"[[620, 2053], [851, 2053], [851, 2107], [620, 2107]]"
Coated,"[[26, 2110], [144, 2110], [144, 2162], [26, 2162]]"
te,"[[259, 2122], [355, 2122], [355, 2174], [259, 2174]]"
Code Ref,"[[414, 2117], [597, 2117], [597, 2178], [414, 2178]]"
6.16.8,"[[610, 2112], [736, 2112], [736, 2164], [610, 2164]]"
6.15.8, 6.15.9","[[958, 2105], [1246, 2105], [1246, 2161], [958, 2161]]"
water tight,"[[38, 2139], [201, 2139], [201, 2199], [38, 2199]]"
psi',"[[1514.350005299984, 394.76000847997454], [1578.9568183181375, 372.9679750207215], [1592.649994700016, 419.23999152002546], [1529.0431816818625, 441.0320249792785]]"
than,"[[681.0939460213589, 461.10396789184324], [765.9014418467042, 476.1175310108645], [758.9060539786411, 511.89603210815676], [674.0985581532958, 496.8824689891355]]"
Psig,"[[534.9594617776758, 464.1094703550758], [604.6094333833643, 476.0627019113397], [596.0405382223242, 520.8905296449242], [526.3905666166357, 508.9372980886603]]"
PSt ',"[[1505.7125353714373, 545.4275212228624], [1567.6128102896464, 515.7369937379453], [1586.2874646285627, 556.5724787771376], [1524.3871897103536, 586.2630062620547]]"
20Ps,"[[327.8800042399873, 670.6080067839797], [437.5630474788329, 655.1821186332485], [442.1199957600127, 693.3919932160203], [332.4369525211671, 708.8178813667515]]"
2,"[[1197.2111456180003, 753.4222912360003], [1283.5115822916575, 744.0845914772777], [1285.7888543819997, 780.5777087639997], [1199.4884177083425, 789.9154085227223]]"
0ese,"[[829.1502814226758, 773.0912945443088], [897.8001269961619, 786.7513868441182], [888.8497185773242, 826.9087054556912], [820.1998730038381, 812.2486131558818]]"
Code,"[[368.5086250343203, 784.2276001098248], [459.23116420044875, 776.3359336515693], [461.4913749656797, 825.7723998901752], [369.76883579955125, 832.6640663484307]]"
pc},"[[466.88755284481306, 774.1040300775092], [537.4700865314153, 787.5346088872494], [526.1124471551869, 838.8959699224908], [455.52991346858477, 824.4653911127506]]"
PALAua,"[[387.4050955543422, 872.331719774987], [499.68386900427424, 863.4414400366533], [500.5949044456578, 902.668280225013], [388.31613099572576, 910.5585599633467]]"
pef,"[[374.9594617776757, 894.1094703550758], [440.51301840601724, 904.8476373755917], [431.0405382223243, 950.8905296449242], [366.48698159398276, 940.1523626244083]]"
,"[[1205.0513167019494, 948.1539501058485], [1257.7929195954612, 954.9047374135446], [1253.9486832980506, 983.8460498941515], [1201.2070804045388, 977.0952625864554]]"
system,"[[910.8695048315003, 1088.7390096630006], [1046.8088979852878, 1062.0940168719617], [1055.1304951684997, 1121.2609903369994], [919.1911020147122, 1147.9059831280383]]"
AO,"[[549.0298574998546, 1106.1194299994186], [635.8858275155253, 1118.0511351415578], [628.9701425001454, 1153.8805700005814], [542.1141724844747, 1140.9488648584422]]"
Ref,"[[628.9594617776758, 1146.109470355076], [693.4999066191177, 1156.8203577313648], [685.0405382223242, 1202.890529644924], [620.5000933808823, 1192.1796422686352]]"
Level,"[[543.5144372945836, 1160.286093236459], [623.4759395655094, 1154.020645525196], [625.4855627054164, 1192.713906763541], [544.5240604344906, 1198.979354474804]]"
ground,"[[1127.0440559000835, 1475.3277621102425], [1277.420814600206, 1460.4280806641357], [1279.9559440999165, 1515.6722378897575], [1129.579185399794, 1530.5719193358643]]"
Colat,"[[397.7811992150991, 1479.6717988226487], [467.9311739665052, 1461.2781956025308], [476.2188007849009, 1501.3282011773513], [406.0688260334948, 1518.7218043974692]]"
Not,"[[665.2599556283028, 1490.2578535733992], [737.534134496739, 1482.070416769493], [740.7400443716972, 1534.7421464266008], [668.465865503261, 1541.929583230507]]"
6.15.4,"[[634.2599556283028, 1655.2578535733992], [731.107909536534, 1647.8521022623686], [732.7400443716972, 1699.7421464266008], [634.892090463466, 1707.1478977376314]]"
Code,"[[409.00636944292773, 1676.414649718734], [521.5069255571124, 1665.834908310799], [523.9936305570723, 1708.585350281266], [410.49307444288763, 1719.165091689201]]"
Code,"[[785.0063694429277, 1853.414649718734], [879.3634155858391, 1843.5585650888756], [881.9936305570723, 1885.585350281266], [786.6365844141609, 1895.4414349111244]]"
water tight,"[[399.0758553927899, 1991.1868625032284], [644.1809580478329, 1973.0364145872793], [644.9241446072101, 2061.8131374967716], [398.81904195216714, 2078.963585412721]]"
tte,"[[1385.4345458491434, 2015.2078196418304], [1471.7223354909079, 2006.2987100206399], [1475.5654541508566, 2063.7921803581694], [1388.2776645090921, 2071.7012899793604]]"
slad,"[[36.00636944292775, 2032.414649718734], [165.60963388636804, 2021.063179039341], [166.99363055707224, 2064.585350281266], [37.390366113631956, 2074.9368209606587]]"
@udk,"[[1218.2051046034558, 2026.3332719689847], [1320.4329242308272, 2017.6871699665248], [1321.7948953965442, 2061.6667280310153], [1219.5670757691728, 2070.312830033475]]"
AUA hpccl,"[[1026.0288745891671, 2052.572186472918], [1208.001447755256, 2024.1296344706968], [1213.9711254108329, 2092.427813527082], [1032.998552244744, 2120.870365529303]]"
ille,"[[862.8461255241468, 2062.3999263627816], [1024.4935308957286, 2046.5873006201193], [1027.1538744758532, 2099.6000736372184], [865.5064691042716, 2116.412699379881]]"
wall,"[[337.1579833204635, 2062.289748293437], [438.06196892639264, 2051.778747046841], [439.8420166795365, 2104.710251706563], [339.93803107360736, 2114.221252953159]]"
wrapped,"[[134.91207504804837, 2068.3186401537546], [251.60678877632054, 2049.8090669752755], [258.0879249519516, 2113.6813598462454], [141.39321122367946, 2132.1909330247245]]"
"1S.2","[[827.9632031319512, 2105.0902578521222], [923.6228763012197, 2119.9063758452908], [914.0367968680488, 2173.9097421478778], [818.3771236987803, 2159.0936241547092]]"
